site,year,month,day,code,comment,,,,,
940077,1996 ,7 ,13 ,A2,,,,,,
93013,1996 ,7 ,26 ,A2,,,,,,
93057,1996 ,9 ,30 ,A2,,,,,,
940044,1996 ,10 ,11 ,E,,,,,,
93020,1996 ,11 ,1 ,E,,,,,,
93058,1997 ,4 ,8 ,A2,,,,,,
960707,1997 ,5 ,9 ,A2,,,,,,
960704,1997 ,5 ,12 ,J1,code field modified on 20130913,,,,,
93003,1997 ,5 ,15 ,A2,,,,,,
93092,1997 ,7 ,23 ,A2,,,,,,
93077,1997 ,7 ,24 ,A2,,,,,,
950365,1997 ,7 ,24 ,A2,,,,,,
93095,1997 ,7 ,31 ,A2,,,,,,
93021,1997 ,8 ,5 ,A2,,,,,,
960678,1997 ,8 ,20 ,A2,,,,,,
960583,1997 ,9 ,4 ,A1,,,,,,
950365,1997 ,9 ,9 ,A2,,,,,,
950244,1997 ,9 ,30 ,A2,,,,,,
93005,1997 ,10 ,7 ,A2,,,,,,
940096,1997 ,10 ,16 ,A2,,,,,,
950146,1997 ,10 ,29 ,E,,,,,,
960718,1997 ,12 ,27 ,E,,,,,,
93019,1998 ,1 ,7 ,E,,,,,,
960561,1998 ,2 ,17 ,A2,,,,,,
960563,1998 ,2 ,18 ,A2,,,,,,
960650,1998 ,3 ,23 ,A2,,,,,,
93039,1998 ,7 ,14 ,A2,,,,,,
93041,1998 ,7 ,23 ,A2,,,,,,
950333,1998 ,7 ,29 ,E,,,,,,
93043,1998 ,9 ,5 ,A2,,,,,,
93018,1998 ,9 ,24 ,A2,,,,,,
960590,1998 ,10 ,15 ,A2,,,,,,
92106,1998 ,10 ,20 ,C1,,,,,,
92107,1998 ,10 ,22 ,H,day field modified on 20130913,,,,,
92108,1998 ,10 ,23 ,C1,day field modified on 20130913,,,,,
950486,1998 ,12 ,11 ,A2,,,,,,
950215,1999 ,2 ,4 ,A2,,,,,,
93048,1999 ,3 ,22 ,H,,,,,,
960634,1999 ,3 ,30 ,A2,,,,,,
950386,1999 ,4 ,5 ,A2,,,,,,
942003,1999 ,7 ,12 ,A2,,,,,,
960523,1999 ,8 ,5 ,A2,,,,,,
950184,1999 ,8 ,12 ,E,,,,,,
940012,1999 ,9 ,1 ,A2,,,,,,
940012,1999 ,11 ,1 ,A2,,,,,,
93103,1999 ,12 ,24 ,A2,,,,,,
93077,2000 ,3 ,10 ,A2,,,,,,
93008,2000 ,3 ,17 ,E,,,,,,
950413,2000 ,3 ,17 ,A2,,,,,,
960526,2000 ,5 ,25 ,D,,,,,,
950179,2000 ,9 ,18 ,A2,,,,,,
950229,2000 ,9 ,23 ,A2,,,,,,
950480,2000 ,10 ,23 ,A2,,,,,,
950161,2000 ,12 ,27 ,A2,,,,,,
989014,2001 ,1 ,25 ,A2,,,,,,
950314,2001 ,2 ,2 ,A2,,,,,,
970835,2001 ,2 ,6 ,A2,,,,,,
942003,2001 ,2 ,25 ,A2,,,,,,
93040,2001 ,3 ,11 ,A1,day field modified on 20130913,,,,,
93034,2001 ,3 ,12 ,A1,day field modified on 20130913,,,,,
93066,2001 ,3 ,12 ,A1,,,,,,
93067,2001 ,3 ,12 ,A1,,,,,,
93066,2001 ,3 ,13 ,J1,code field modified on 20130913,,,,,
93064,2001 ,3 ,13 ,A1,,,,,,
93065,2001 ,3 ,13 ,A1,,,,,,
93064,2001 ,3 ,14 ,J1,code field modified on 20130913,,,,,
93065,2001 ,3 ,14 ,J1,code field modified on 20130913,,,,,
93067,2001 ,3 ,14 ,J1,code field modified on 20130913,,,,,
93086,2001 ,3 ,14 ,J1,maintenance record added on 20130822,,,,,
93031,2001 ,3 ,14 ,A1,day field modified on 20130913,,,,,
93068,2001 ,3 ,14 ,A1,,,,,,
93068,2001 ,3 ,15 ,J1,code field modified on 20130913,,,,,
93046,2001 ,3 ,15 ,A1,day field modified on 20130913,,,,,
93049,2001 ,3 ,15 ,A1,day field modified on 20130913,,,,,
93076,2001 ,3 ,18 ,A1,,,,,,
93085,2001 ,3 ,18 ,A1,day field modified on 20130822,,,,,
93076,2001 ,3 ,19 ,J1,code field modified on 20130913,,,,,
93085,2001 ,3 ,19 ,J1,maintenance record added on 20130822,,,,,
93077,2001 ,3 ,19 ,A1,day field modified on 20130822,,,,,
93081,2001 ,3 ,19 ,A1,,,,,,
93079,2001 ,3 ,20 ,A1,,,,,,
93081,2001 ,3 ,20 ,J1,code field modified on 20130913,,,,,
93091,2001 ,3 ,20 ,A1,day field modified on 20130822,,,,,
93092,2001 ,3 ,20 ,A1,day field modified on 20130822,,,,,
000842,2001 ,3 ,21 ,J1,,,,,,
93088,2001 ,3 ,21 ,A1,,,,,,
93002,2001 ,3 ,21 ,A1,day field modified on 20130913,,,,,
93039,2001 ,3 ,21 ,A1,day field modified on 20130913,,,,,
93053,2001 ,3 ,26 ,A1,day field modified on 20130913,,,,,
93025,2001 ,3 ,27 ,A1,day field modified on 20130913,,,,,
93028,2001 ,3 ,27 ,A1,day field modified on 20130913,,,,,
93085,2001 ,4 ,22 ,J1,maintenance record added on 20130822,,,,,
950413,2001 ,5 ,14 ,A2,,,,,,
93046,2001 ,5 ,15 ,D,,,,,,
950261,2001 ,7 ,3 ,D,,,,,,
940010,2001 ,11 ,1 ,A1,,,,,,
940023,2001 ,11 ,19 ,A1,,,,,,
960506,2001 ,11 ,20 ,A1,,,,,,
940026,2001 ,11 ,21 ,A1,,,,,,
940034,2001 ,11 ,21 ,A1,,,,,,
960510,2001 ,11 ,21 ,A1,,,,,,
970801,2001 ,11 ,21 ,A1,,,,,,
940017,2001 ,11 ,22 ,A1,,,,,,
940012,2001 ,11 ,26 ,A1,,,,,,
93062,2001 ,11 ,27 ,D,,,,,,
940036,2001 ,11 ,28 ,A1,,,,,,
940013,2001 ,11 ,29 ,A1,,,,,,
960513,2001 ,11 ,29 ,A1,,,,,,
950165,2001 ,11 ,29 ,J1,,,,,,
960547,2001 ,11 ,30 ,A1,,,,,,
960509,2001 ,12 ,3 ,A1,,,,,,
940002,2001 ,12 ,4 ,A1,,,,,,
940001,2001 ,12 ,5 ,A1,,,,,,
940033,2001 ,12 ,5 ,A1,,,,,,
940018,2001 ,12 ,6 ,A1,,,,,,
940030,2001 ,12 ,6 ,A1,,,,,,
960534,2001 ,12 ,6 ,A1,,,,,,
970799,2001 ,12 ,6 ,A1,,,,,,
